대분류,중분류,세부기능,기능설명,사용자유형,구현상태,우선순위,관련API,비고
관리자 시스템,대시보드,실시간 통계,교재/지문세트/문제 수 실시간 조회,관리자,완료,높음,GET /admin/dashboard/stats,MongoDB 집계 쿼리
관리자 시스템,대시보드,월별 증가량,이번 달 신규 콘텐츠 수 표시,관리자,완료,보통,GET /admin/dashboard/stats,성장 지표 제공
관리자 시스템,대시보드,최근 활동,최근 생성/수정된 콘텐츠 타임라인,관리자,완료,보통,GET /admin/dashboard/recent-activity,실시간 활동 피드
관리자 시스템,대시보드,빠른 작업,주요 관리 페이지로 원클릭 이동,관리자,완료,보통,N/A,네비게이션 단축키
교재 관리,기본 CRUD,교재 목록 조회,등록된 모든 교재 목록 확인,관리자,완료,높음,GET /admin/textbooks,페이지네이션 지원
교재 관리,기본 CRUD,교재 생성,새로운 교재 등록,관리자,완료,높음,POST /admin/textbooks,필수 정보 검증
교재 관리,기본 CRUD,교재 수정,기존 교재 정보 수정,관리자,완료,높음,PUT /admin/textbooks/:id,부분 업데이트 지원
교재 관리,기본 CRUD,교재 삭제,교재 삭제 (연관 지문세트 확인),관리자,완료,높음,DELETE /admin/textbooks/:id,연관 데이터 보호
교재 관리,정보 관리,출판사 관리,교재별 출판사 정보 관리,관리자,완료,보통,N/A,텍스트 필드
교재 관리,정보 관리,과목 분류,과목별 교재 분류 (국어/문학 등),관리자,완료,보통,N/A,선택 옵션
교재 관리,정보 관리,학년 분류,학년별 교재 분류 (고1/고2/고3),관리자,완료,보통,N/A,선택 옵션
교재 관리,연동 관리,지문세트 연결,교재와 지문세트 다대다 연결,관리자,완료,높음,GET /admin/textbooks/:id/sets,매핑 테이블 사용
지문세트 관리,기본 CRUD,지문세트 목록,모든 지문세트 목록 조회,관리자,완료,높음,GET /admin/passage-sets,문제 수 표시
지문세트 관리,기본 CRUD,지문세트 생성,새로운 지문세트 등록,관리자,완료,높음,POST /admin/passage-sets,QR 코드 자동 생성
지문세트 관리,기본 CRUD,지문세트 수정,기존 지문세트 정보 수정,관리자,완료,높음,PUT /admin/passage-sets/:id,해설 포함 수정
지문세트 관리,기본 CRUD,지문세트 삭제,지문세트 삭제 (연관 확인),관리자,완료,높음,DELETE /admin/passage-sets/:id,연관 데이터 보호
지문세트 관리,QR 관리,QR 코드 생성,지문세트별 고유 6자리 QR 코드 생성,관리자,완료,높음,N/A,자동 생성 알고리즘
지문세트 관리,QR 관리,QR 코드 재생성,기존 QR 코드 새로 생성,관리자,완료,보통,POST /admin/passage-sets/:id/regenerate-qr,중복 방지
지문세트 관리,QR 관리,QR 코드 이미지,QR 코드 이미지 파일 생성,관리자,완료,보통,GET /admin/passage-sets/:id/qr-image,PNG 형식
지문세트 관리,AI 해설,지문 해설 생성,AI를 활용한 지문 해설 자동 생성,관리자,완료,높음,POST /admin/commentary-generator/generate,GPT 기반 생성
지문세트 관리,AI 해설,기존 해설 참조,기존 해설을 참고하여 개선된 해설 생성,관리자,완료,보통,POST /admin/commentary-generator/generate,컨텍스트 활용
지문세트 관리,AI 해설,해설 수정,AI 생성 해설을 사용자가 편집 가능,관리자,완료,높음,N/A,텍스트 에디터
문제 관리,기본 CRUD,문제 목록 조회,지문세트별 문제 목록 확인,관리자,완료,높음,GET /admin/sets/:setId/questions,지문세트 중심 관리
문제 관리,기본 CRUD,문제 생성,새로운 객관식 문제 등록,관리자,완료,높음,POST /admin/sets/:setId/questions,선택지 및 정답 포함
문제 관리,기본 CRUD,문제 수정,기존 문제 정보 수정,관리자,완료,높음,PUT /admin/questions/:id,유효성 검증 강화
문제 관리,기본 CRUD,문제 삭제,문제 삭제,관리자,완료,높음,DELETE /admin/questions/:id,즉시 삭제
문제 관리,문제 구성,객관식 선택지,2-5개 선택지 관리,관리자,완료,높음,N/A,동적 선택지 추가
문제 관리,문제 구성,정답 설정,선택지 중 정답 지정,관리자,완료,높음,N/A,검증 로직 포함
문제 관리,문제 구성,문제 번호,지문세트 내 문제 순서 관리,관리자,완료,보통,N/A,자동 번호 부여
문제 관리,AI 해설,문제 해설 생성,AI를 활용한 문제 해설 자동 생성,관리자,완료,높음,POST /admin/commentary-generator/generate-question,GPT 기반 생성
문제 관리,AI 해설,단계별 해설,정답 도출 과정 단계적 설명,관리자,완료,보통,POST /admin/commentary-generator/generate-question,구조화된 해설
문제 관리,AI 해설,오답 분석,각 선택지별 오답 이유 설명,관리자,완료,보통,POST /admin/commentary-generator/generate-question,선택지 분석
문제 관리,네비게이션,지문세트 연동,지문세트 목록에서 문제 관리로 직접 이동,관리자,완료,높음,N/A,워크플로우 개선
문제 관리,네비게이션,뒤로 가기,문제 관리에서 지문세트 목록으로 복귀,관리자,완료,보통,N/A,브레드크럼 네비게이션
프롬프트 관리,기본 관리,프롬프트 목록,시스템 프롬프트 전체 목록 조회,관리자,완료,높음,GET /admin/system-prompts,버전 정보 포함
프롬프트 관리,기본 관리,프롬프트 수정,시스템 프롬프트 내용 수정,관리자,완료,높음,PUT /admin/system-prompts/:id,버전 자동 증가
프롬프트 관리,기본 관리,프롬프트 활성화,프롬프트 활성화/비활성화 토글,관리자,완료,보통,PUT /admin/system-prompts/:id,즉시 반영
프롬프트 관리,버전 관리,버전 히스토리,최근 10개 버전 목록 조회,관리자,완료,높음,GET /admin/system-prompts/versions/:key,시간순 정렬
프롬프트 관리,버전 관리,버전 되돌리기,이전 버전으로 롤백,관리자,완료,높음,POST /admin/system-prompts/revert/:key,자동 백업
프롬프트 관리,버전 관리,버전 설명,수정 시 변경사항 설명 추가,관리자,완료,보통,PUT /admin/system-prompts/:id,메타데이터
프롬프트 관리,버전 관리,자동 백업,수정 전 현재 버전 자동 백업,관리자,완료,높음,PUT /admin/system-prompts/:id,무손실 보장
프롬프트 관리,버전 관리,버전 정리,10개 초과 버전 자동 삭제,관리자,완료,낮음,PUT /admin/system-prompts/:id,스토리지 최적화
프롬프트 관리,프롬프트 종류,채팅 어시스턴트,학생 채팅용 메인 프롬프트,관리자,완료,높음,N/A,chat_assistant 키
프롬프트 관리,프롬프트 종류,지문 해설 생성,지문 해설 생성용 프롬프트,관리자,완료,높음,N/A,passage_commentary 키
프롬프트 관리,프롬프트 종류,문제 해설 생성,문제 해설 생성용 프롬프트,관리자,완료,높음,N/A,question_explanation 키
프롬프트 관리,기본값 관리,기본 프롬프트 생성,시스템 기본 프롬프트 일괄 생성,관리자,완료,보통,POST /admin/system-prompts/initialize,초기 설정용
UI/UX,마크다운 렌더링,채팅 메시지,AI 응답 메시지 마크다운 렌더링,학생,완료,높음,N/A,ReactMarkdown 사용
UI/UX,마크다운 렌더링,지문 해설,지문 해설 마크다운 렌더링,학생/관리자,완료,높음,N/A,구조화된 표시
UI/UX,마크다운 렌더링,문제 해설,문제 해설 마크다운 렌더링,학생/관리자,완료,높음,N/A,계층적 헤딩
UI/UX,마크다운 렌더링,헤딩 크기,마크다운 헤딩 크기 차이 구현,학생/관리자,완료,보통,N/A,CSS 임의 선택자
UI/UX,반응형 디자인,모바일 지원,스마트폰에서 최적화된 UI,학생/관리자,완료,높음,N/A,Tailwind CSS
UI/UX,반응형 디자인,태블릿 지원,태블릿에서 최적화된 UI,학생/관리자,완료,보통,N/A,Tailwind CSS
UI/UX,반응형 디자인,데스크톱 지원,데스크톱에서 최적화된 UI,관리자,완료,높음,N/A,Tailwind CSS
UI/UX,로딩 상태,API 로딩,API 호출 중 로딩 인디케이터,학생/관리자,완료,보통,N/A,사용자 경험 개선
UI/UX,로딩 상태,페이지 로딩,페이지 로딩 상태 표시,학생/관리자,완료,보통,N/A,스켈레톤 UI
UI/UX,에러 처리,API 에러,API 호출 실패 시 에러 메시지,학생/관리자,완료,보통,N/A,사용자 친화적 메시지
UI/UX,에러 처리,폼 검증,입력 폼 유효성 검사,관리자,완료,보통,N/A,실시간 검증
시스템 인프라,데이터베이스,MongoDB 연결,MongoDB Atlas 클라우드 연결,시스템,완료,높음,N/A,Mongoose ODM
시스템 인프라,데이터베이스,스키마 검증,데이터 입력 시 스키마 검증,시스템,완료,높음,N/A,Mongoose 검증기
시스템 인프라,데이터베이스,인덱스 최적화,쿼리 성능 최적화를 위한 인덱스,시스템,완료,보통,N/A,MongoDB 인덱스
시스템 인프라,외부 API,OpenAI 연동,GPT 모델을 통한 AI 응답 생성,시스템,완료,높음,OpenAI API,GPT-4 사용
시스템 인프라,외부 API,API 키 관리,OpenAI API 키 보안 관리,시스템,완료,높음,N/A,환경 변수
시스템 인프라,배포,프론트엔드 배포,Vercel을 통한 프론트엔드 배포,시스템,완료,높음,N/A,자동 배포
시스템 인프라,배포,백엔드 배포,Railway를 통한 백엔드 배포,시스템,완료,높음,N/A,자동 배포
시스템 인프라,배포,도메인 연결,커스텀 도메인 연결,시스템,완료,보통,N/A,HTTPS 지원
시스템 인프라,모니터링,서버 모니터링,백엔드 서버 상태 모니터링,시스템,완료,보통,N/A,Railway 내장
시스템 인프라,모니터링,에러 로깅,시스템 에러 로그 수집,시스템,완료,보통,N/A,콘솔 로그
보안,데이터 보호,개인정보 보호,학생 채팅 데이터 로컬 저장,시스템,완료,높음,N/A,GDPR 준수
보안,데이터 보호,데이터 암호화,데이터베이스 연결 암호화,시스템,완료,높음,N/A,SSL/TLS
보안,접근 제어,관리자 인증,관리자 페이지 접근 제어,시스템,완료,높음,N/A,기본 인증
보안,API 보안,CORS 설정,교차 도메인 요청 제어,시스템,완료,보통,N/A,Express CORS
성능 최적화,프론트엔드,코드 분할,JavaScript 번들 크기 최적화,시스템,완료,보통,N/A,Next.js 자동
성능 최적화,프론트엔드,이미지 최적화,이미지 로딩 최적화,시스템,완료,낮음,N/A,Next.js Image
성능 최적화,백엔드,응답 압축,HTTP 응답 데이터 압축,시스템,미구현,낮음,N/A,gzip 압축
성능 최적화,백엔드,캐싱,API 응답 캐싱,시스템,미구현,보통,N/A,Redis 또는 메모리
확장 기능,사용자 인증,학생 로그인,학생 개별 계정 시스템,학생,미구현,높음,N/A,향후 계획
확장 기능,사용자 인증,소셜 로그인,구글/네이버 소셜 로그인,학생,미구현,보통,N/A,OAuth 2.0
확장 기능,채팅 로그,서버 저장,채팅 내용 서버 데이터베이스 저장,시스템,미구현,보통,N/A,분석용 데이터
확장 기능,채팅 로그,학습 분석,학생 학습 패턴 분석,관리자,미구현,보통,N/A,통계 대시보드
확장 기능,다중 과목,영어 지원,영어 과목 콘텐츠 지원,학생/관리자,미구현,보통,N/A,시스템 확장
확장 기능,다중 과목,수학 지원,수학 과목 콘텐츠 지원,학생/관리자,미구현,보통,N/A,시스템 확장
확장 기능,모바일 앱,안드로이드 앱,안드로이드 네이티브 앱,학생,미구현,보통,N/A,React Native
확장 기능,모바일 앱,iOS 앱,iOS 네이티브 앱,학생,미구현,보통,N/A,React Native
확장 기능,고급 AI,이미지 인식,문제 이미지 업로드 및 인식,학생,미구현,낮음,N/A,OCR + AI
확장 기능,고급 AI,음성 인식,음성으로 질문 입력,학생,미구현,낮음,N/A,Speech-to-Text
확장 기능,고급 AI,개인화,학생별 맞춤 학습 추천,학생,미구현,보통,N/A,머신러닝
확장 기능,협업 기능,실시간 채팅,학생간 실시간 그룹 채팅,학생,미구현,낮음,N/A,WebSocket
확장 기능,협업 기능,스터디 그룹,학습 그룹 생성 및 관리,학생,미구현,낮음,N/A,그룹 관리
확장 기능,교육기관 연동,LMS 연동,기존 학습관리시스템 연동,관리자,미구현,보통,N/A,API 통합
확장 기능,교육기관 연동,성적 연동,시험 성적과 학습 데이터 연결,관리자,미구현,보통,N/A,데이터 동기화
교재 관리,QR 관리,QR 코드 일괄 다운로드,교재용 QR 코드만 ZIP 파일로 일괄 다운로드,관리자,완료,높음,GET /admin/textbooks/:id/mappings/:mappingId/qr-image,파일명: 지문세트명_qr.png
교재 관리,채팅 접근,직접 채팅 접속,각 지문세트 QR 코드로 즉시 채팅 페이지 접속,관리자,완료,보통,N/A,새 탭에서 열기
문제 관리,일괄 업로드,CSV 파일 업로드,CSV 형식으로 문제 일괄 업로드,관리자,완료,높음,POST /admin/sets/:setId/questions/bulk-upload,발문-선지1~5-정답-해설 구조
문제 관리,일괄 업로드,템플릿 다운로드,CSV 업로드용 템플릿 파일 다운로드,관리자,완료,보통,N/A,예시 문제 포함
문제 관리,일괄 업로드,파일 검증,업로드 전 CSV 파일 형식 및 내용 검증,관리자,완료,보통,N/A,실시간 에러 체크
문제 관리,일괄 업로드,미리보기,업로드 전 문제 목록 미리보기,관리자,완료,보통,N/A,문제별 상세 정보
문제 관리,AI 해설,자동 해설 생성,해설 칼럼 공란 시 AI 자동 해설 생성,관리자,완료,높음,AI 통합,GPT 기반 해설
문제 관리,일괄 업로드,정답 번호 입력,CSV에서 1-5 숫자로 정답 번호 지정,관리자,완료,높음,N/A,자동 선택지 매핑
문제 관리,기본 CRUD,문제 삭제 후 번호 재정렬,문제 삭제 시 나머지 문제 번호 자동 재정렬,관리자,완료,높음,DELETE /admin/questions/:id,순차적 번호 유지
시스템 최적화,AI 해설 생성,통일된 해설 생성 로직,개별 생성과 일괄 업로드 동일한 로직 사용,시스템,완료,높음,AIService.generateQuestionExplanation,선택지 정보 정확 전달
시스템 최적화,AI 해설 생성,프롬프트 변수 치환 일관성,모든 프롬프트 변수 정확한 치환,시스템,완료,높음,N/A,passage_comment 포함
시스템 최적화,AI 해설 생성,오류 처리 개선,AI 해설 생성 실패 시 적절한 폴백 처리,시스템,완료,보통,N/A,에러 메시지 개선
